title,description,points,expiration,category,active
Home Payment Jan. 2016,You paid your rent/mortgage for your house this month!,500,2/1/2016,home-payment,1/1/2016
Home Payment Feb. 2016,You paid your rent/mortgage for your house this month!,500,3/1/2016,home-payment,2/1/2016
Home Payment Mar. 2016,You paid your rent/mortgage for your house this month!,500,4/1/2016,home-payment,3/1/2016
Home Payment April 2016,You paid your rent/mortgage for your house this month!,500,5/1/2016,home-payment,4/1/2016
Home Payment May 2016,You paid your rent/mortgage for your house this month!,500,6/1/2016,home-payment,5/1/2016
Home Payment June 2016,You paid your rent/mortgage for your house this month!,500,7/1/2016,home-payment,6/1/2016
Home Payment July 2016,You paid your rent/mortgage for your house this month!,500,8/1/2016,home-payment,7/1/2016
Home Payment Aug. 2016,You paid your rent/mortgage for your house this month!,500,9/1/2016,home-payment,8/1/2016
Home Payment Sept. 2016,You paid your rent/mortgage for your house this month!,500,10/1/2016,home-payment,9/1/2016
Home Payment Oct. 2016,You paid your rent/mortgage for your house this month!,500,11/1/2016,home-payment,10/1/2016
Home Payment Nov. 2016,You paid your rent/mortgage for your house this month!,500,12/1/2016,home-payment,11/1/2016
Home Payment Dec. 2016,You paid your rent/mortgage for your house this month!,500,1/1/2017,home-payment,12/1/2016
Home Payment Jan. 2017,You paid your rent/mortgage for your house this month!,500,2/1/2017,home-payment,1/1/2017
Home Payment Feb. 2017,You paid your rent/mortgage for your house this month!,500,3/1/2017,home-payment,2/1/2017
Home Payment Mar. 2017,You paid your rent/mortgage for your house this month!,500,4/1/2017,home-payment,3/1/2017
Home Payment April 2017,You paid your rent/mortgage for your house this month!,500,5/1/2017,home-payment,4/1/2017
Home Payment May 2017,You paid your rent/mortgage for your house this month!,500,6/1/2017,home-payment,5/1/2017
Home Payment June 2017,You paid your rent/mortgage for your house this month!,500,7/1/2017,home-payment,6/1/2017
Home Payment July 2017,You paid your rent/mortgage for your house this month!,500,8/1/2017,home-payment,7/1/2017
Home Payment Aug. 2017,You paid your rent/mortgage for your house this month!,500,9/1/2017,home-payment,8/1/2017
Home Payment Sept. 2017,You paid your rent/mortgage for your house this month!,500,10/1/2017,home-payment,9/1/2017
Home Payment Oct. 2017,You paid your rent/mortgage for your house this month!,500,11/1/2017,home-payment,10/1/2017
Home Payment Nov. 2017,You paid your rent/mortgage for your house this month!,500,12/1/2017,home-payment,11/1/2017
Home Payment Dec. 2017,You paid your rent/mortgage for your house this month!,500,1/1/2018,home-payment,12/1/2017
Home Payment Jan. 2018,You paid your rent/mortgage for your house this month!,500,2/1/2018,home-payment,1/1/2018
Home Payment Feb. 2018,You paid your rent/mortgage for your house this month!,500,3/1/2018,home-payment,2/1/2018
Home Payment Mar. 2018,You paid your rent/mortgage for your house this month!,500,4/1/2018,home-payment,3/1/2018
Home Payment April 2018,You paid your rent/mortgage for your house this month!,500,5/1/2018,home-payment,4/1/2018
Home Payment May 2018,You paid your rent/mortgage for your house this month!,500,6/1/2018,home-payment,5/1/2018
Home Payment June 2018,You paid your rent/mortgage for your house this month!,500,7/1/2018,home-payment,6/1/2018
Home Payment July 2018,You paid your rent/mortgage for your house this month!,500,8/1/2018,home-payment,7/1/2018
Home Payment Aug. 2018,You paid your rent/mortgage for your house this month!,500,9/1/2018,home-payment,8/1/2018
Home Payment Sept. 2018,You paid your rent/mortgage for your house this month!,500,10/1/2018,home-payment,9/1/2018
Home Payment Oct. 2018,You paid your rent/mortgage for your house this month!,500,11/1/2018,home-payment,10/1/2018
Home Payment Nov. 2018,You paid your rent/mortgage for your house this month!,500,12/1/2018,home-payment,11/1/2018
Home Payment Dec. 2018,You paid your rent/mortgage for your house this month!,500,1/1/2019,home-payment,12/1/2018
Appt. Payment Jan. 2016,You paid your rent for your apartment this month!,500,2/1/2016,appt-payment,1/1/2016
Appt. Payment Feb. 2016,You paid your rent for your apartment this month!,500,3/1/2016,appt-payment,2/1/2016
Appt. Payment Mar. 2016,You paid your rent for your apartment this month!,500,4/1/2016,appt-payment,3/1/2016
Appt. Payment April 2016,You paid your rent for your apartment this month!,500,5/1/2016,appt-payment,4/1/2016
Appt. Payment May 2016,You paid your rent for your apartment this month!,500,6/1/2016,appt-payment,5/1/2016
Appt. Payment June 2016,You paid your rent for your apartment this month!,500,7/1/2016,appt-payment,6/1/2016
Appt. Payment July 2016,You paid your rent for your apartment this month!,500,8/1/2016,appt-payment,7/1/2016
Appt. Payment Aug. 2016,You paid your rent for your apartment this month!,500,9/1/2016,appt-payment,8/1/2016
Appt. Payment Sept. 2016,You paid your rent for your apartment this month!,500,10/1/2016,appt-payment,9/1/2016
Appt. Payment Oct. 2016,You paid your rent for your apartment this month!,500,11/1/2016,appt-payment,10/1/2016
Appt. Payment Nov. 2016,You paid your rent for your apartment this month!,500,12/1/2016,appt-payment,11/1/2016
Appt. Payment Dec. 2016,You paid your rent for your apartment this month!,500,1/1/2017,appt-payment,12/1/2016
Appt. Payment Jan. 2017,You paid your rent for your apartment this month!,500,2/1/2017,appt-payment,1/1/2017
Appt. Payment Feb. 2017,You paid your rent for your apartment this month!,500,3/1/2017,appt-payment,2/1/2017
Appt. Payment Mar. 2017,You paid your rent for your apartment this month!,500,4/1/2017,appt-payment,3/1/2017
Appt. Payment April 2017,You paid your rent for your apartment this month!,500,5/1/2017,appt-payment,4/1/2017
Appt. Payment May 2017,You paid your rent for your apartment this month!,500,6/1/2017,appt-payment,5/1/2017
Appt. Payment June 2017,You paid your rent for your apartment this month!,500,7/1/2017,appt-payment,6/1/2017
Appt. Payment July 2017,You paid your rent for your apartment this month!,500,8/1/2017,appt-payment,7/1/2017
Appt. Payment Aug. 2017,You paid your rent for your apartment this month!,500,9/1/2017,appt-payment,8/1/2017
Appt. Payment Sept. 2017,You paid your rent for your apartment this month!,500,10/1/2017,appt-payment,9/1/2017
Appt. Payment Oct. 2017,You paid your rent for your apartment this month!,500,11/1/2017,appt-payment,10/1/2017
Appt. Payment Nov. 2017,You paid your rent for your apartment this month!,500,12/1/2017,appt-payment,11/1/2017
Appt. Payment Dec. 2017,You paid your rent for your apartment this month!,500,1/1/2018,appt-payment,12/1/2017
Appt. Payment Jan. 2018,You paid your rent for your apartment this month!,500,2/1/2018,appt-payment,1/1/2018
Appt. Payment Feb. 2018,You paid your rent for your apartment this month!,500,3/1/2018,appt-payment,2/1/2018
Appt. Payment Mar. 2018,You paid your rent for your apartment this month!,500,4/1/2018,appt-payment,3/1/2018
Appt. Payment April 2018,You paid your rent for your apartment this month!,500,5/1/2018,appt-payment,4/1/2018
Appt. Payment May 2018,You paid your rent for your apartment this month!,500,6/1/2018,appt-payment,5/1/2018
Appt. Payment June 2018,You paid your rent for your apartment this month!,500,7/1/2018,appt-payment,6/1/2018
Appt. Payment July 2018,You paid your rent for your apartment this month!,500,8/1/2018,appt-payment,7/1/2018
Appt. Payment Aug. 2018,You paid your rent for your apartment this month!,500,9/1/2018,appt-payment,8/1/2018
Appt. Payment Sept. 2018,You paid your rent for your apartment this month!,500,10/1/2018,appt-payment,9/1/2018
Appt. Payment Oct. 2018,You paid your rent for your apartment this month!,500,11/1/2018,appt-payment,10/1/2018
Appt. Payment Nov. 2018,You paid your rent for your apartment this month!,500,12/1/2018,appt-payment,11/1/2018
Appt. Payment Dec. 2018,You paid your rent for your apartment this month!,500,1/1/2019,appt-payment,12/1/2018
Car Payment Jan. 2016,You paid your car payment this month!,500,2/1/2016,car-payment,1/1/2016
Car Payment Feb. 2016,You paid your car payment this month!,500,3/1/2016,car-payment,2/1/2016
Car Payment Mar. 2016,You paid your car payment this month!,500,4/1/2016,car-payment,3/1/2016
Car Payment April 2016,You paid your car payment this month!,500,5/1/2016,car-payment,4/1/2016
Car Payment May 2016,You paid your car payment this month!,500,6/1/2016,car-payment,5/1/2016
Car Payment June 2016,You paid your car payment this month!,500,7/1/2016,car-payment,6/1/2016
Car Payment July 2016,You paid your car payment this month!,500,8/1/2016,car-payment,7/1/2016
Car Payment Aug. 2016,You paid your car payment this month!,500,9/1/2016,car-payment,8/1/2016
Car Payment Sept. 2016,You paid your car payment this month!,500,10/1/2016,car-payment,9/1/2016
Car Payment Oct. 2016,You paid your car payment this month!,500,11/1/2016,car-payment,10/1/2016
Car Payment Nov. 2016,You paid your car payment this month!,500,12/1/2016,car-payment,11/1/2016
Car Payment Dec. 2016,You paid your car payment this month!,500,1/1/2017,car-payment,12/1/2016
Car Payment Jan. 2017,You paid your car payment this month!,500,2/1/2017,car-payment,1/1/2017
Car Payment Feb. 2017,You paid your car payment this month!,500,3/1/2017,car-payment,2/1/2017
Car Payment Mar. 2017,You paid your car payment this month!,500,4/1/2017,car-payment,3/1/2017
Car Payment April 2017,You paid your car payment this month!,500,5/1/2017,car-payment,4/1/2017
Car Payment May 2017,You paid your car payment this month!,500,6/1/2017,car-payment,5/1/2017
Car Payment June 2017,You paid your car payment this month!,500,7/1/2017,car-payment,6/1/2017
Car Payment July 2017,You paid your car payment this month!,500,8/1/2017,car-payment,7/1/2017
Car Payment Aug. 2017,You paid your car payment this month!,500,9/1/2017,car-payment,8/1/2017
Car Payment Sept. 2017,You paid your car payment this month!,500,10/1/2017,car-payment,9/1/2017
Car Payment Oct. 2017,You paid your car payment this month!,500,11/1/2017,car-payment,10/1/2017
Car Payment Nov. 2017,You paid your car payment this month!,500,12/1/2017,car-payment,11/1/2017
Car Payment Dec. 2017,You paid your car payment this month!,500,1/1/2018,car-payment,12/1/2017
Car Payment Jan. 2018,You paid your car payment this month!,500,2/1/2018,car-payment,1/1/2018
Car Payment Feb. 2018,You paid your car payment this month!,500,3/1/2018,car-payment,2/1/2018
Car Payment Mar. 2018,You paid your car payment this month!,500,4/1/2018,car-payment,3/1/2018
Car Payment April 2018,You paid your car payment this month!,500,5/1/2018,car-payment,4/1/2018
Car Payment May 2018,You paid your car payment this month!,500,6/1/2018,car-payment,5/1/2018
Car Payment June 2018,You paid your car payment this month!,500,7/1/2018,car-payment,6/1/2018
Car Payment July 2018,You paid your car payment this month!,500,8/1/2018,car-payment,7/1/2018
Car Payment Aug. 2018,You paid your car payment this month!,500,9/1/2018,car-payment,8/1/2018
Car Payment Sept. 2018,You paid your car payment this month!,500,10/1/2018,car-payment,9/1/2018
Car Payment Oct. 2018,You paid your car payment this month!,500,11/1/2018,car-payment,10/1/2018
Car Payment Nov. 2018,You paid your car payment this month!,500,12/1/2018,car-payment,11/1/2018
Car Payment Dec. 2018,You paid your car payment this month!,500,1/1/2019,car-payment,12/1/2018
Water Bill Jan. 2016,You paid your water bill this month!,250,2/1/2016,water-bill,1/1/2016
Water Bill Feb. 2016,You paid your water bill this month!,250,3/1/2016,water-bill,2/1/2016
Water Bill Mar. 2016,You paid your water bill this month!,250,4/1/2016,water-bill,3/1/2016
Water Bill April 2016,You paid your water bill this month!,250,5/1/2016,water-bill,4/1/2016
Water Bill May 2016,You paid your water bill this month!,250,6/1/2016,water-bill,5/1/2016
Water Bill June 2016,You paid your water bill this month!,250,7/1/2016,water-bill,6/1/2016
Water Bill July 2016,You paid your water bill this month!,250,8/1/2016,water-bill,7/1/2016
Water Bill Aug. 2016,You paid your water bill this month!,250,9/1/2016,water-bill,8/1/2016
Water Bill Sept. 2016,You paid your water bill this month!,250,10/1/2016,water-bill,9/1/2016
Water Bill Oct. 2016,You paid your water bill this month!,250,11/1/2016,water-bill,10/1/2016
Water Bill Nov. 2016,You paid your water bill this month!,250,12/1/2016,water-bill,11/1/2016
Water Bill Dec. 2016,You paid your water bill this month!,250,1/1/2017,water-bill,12/1/2016
Water Bill Jan. 2017,You paid your water bill this month!,250,2/1/2017,water-bill,1/1/2017
Water Bill Feb. 2017,You paid your water bill this month!,250,3/1/2017,water-bill,2/1/2017
Water Bill Mar. 2017,You paid your water bill this month!,250,4/1/2017,water-bill,3/1/2017
Water Bill April 2017,You paid your water bill this month!,250,5/1/2017,water-bill,4/1/2017
Water Bill May 2017,You paid your water bill this month!,250,6/1/2017,water-bill,5/1/2017
Water Bill June 2017,You paid your water bill this month!,250,7/1/2017,water-bill,6/1/2017
Water Bill July 2017,You paid your water bill this month!,250,8/1/2017,water-bill,7/1/2017
Water Bill Aug. 2017,You paid your water bill this month!,250,9/1/2017,water-bill,8/1/2017
Water Bill Sept. 2017,You paid your water bill this month!,250,10/1/2017,water-bill,9/1/2017
Water Bill Oct. 2017,You paid your water bill this month!,250,11/1/2017,water-bill,10/1/2017
Water Bill Nov. 2017,You paid your water bill this month!,250,12/1/2017,water-bill,11/1/2017
Water Bill Dec. 2017,You paid your water bill this month!,250,1/1/2018,water-bill,12/1/2017
Water Bill Jan. 2018,You paid your water bill this month!,250,2/1/2018,water-bill,1/1/2018
Water Bill Feb. 2018,You paid your water bill this month!,250,3/1/2018,water-bill,2/1/2018
Water Bill Mar. 2018,You paid your water bill this month!,250,4/1/2018,water-bill,3/1/2018
Water Bill April 2018,You paid your water bill this month!,250,5/1/2018,water-bill,4/1/2018
Water Bill May 2018,You paid your water bill this month!,250,6/1/2018,water-bill,5/1/2018
Water Bill June 2018,You paid your water bill this month!,250,7/1/2018,water-bill,6/1/2018
Water Bill July 2018,You paid your water bill this month!,250,8/1/2018,water-bill,7/1/2018
Water Bill Aug. 2018,You paid your water bill this month!,250,9/1/2018,water-bill,8/1/2018
Water Bill Sept. 2018,You paid your water bill this month!,250,10/1/2018,water-bill,9/1/2018
Water Bill Oct. 2018,You paid your water bill this month!,250,11/1/2018,water-bill,10/1/2018
Water Bill Nov. 2018,You paid your water bill this month!,250,12/1/2018,water-bill,11/1/2018
Water Bill Dec. 2018,You paid your water bill this month!,250,1/1/2019,water-bill,12/1/2018
Electricity Bill Jan. 2016,You paid your electricity bill this month!,250,2/1/2016,electricity-bill,1/1/2016
Electricity Bill Feb. 2016,You paid your electricity bill this month!,250,3/1/2016,electricity-bill,2/1/2016
Electricity Bill Mar. 2016,You paid your electricity bill this month!,250,4/1/2016,electricity-bill,3/1/2016
Electricity Bill April 2016,You paid your electricity bill this month!,250,5/1/2016,electricity-bill,4/1/2016
Electricity Bill May 2016,You paid your electricity bill this month!,250,6/1/2016,electricity-bill,5/1/2016
Electricity Bill June 2016,You paid your electricity bill this month!,250,7/1/2016,electricity-bill,6/1/2016
Electricity Bill July 2016,You paid your electricity bill this month!,250,8/1/2016,electricity-bill,7/1/2016
Electricity Bill Aug. 2016,You paid your electricity bill this month!,250,9/1/2016,electricity-bill,8/1/2016
Electricity Bill Sept. 2016,You paid your electricity bill this month!,250,10/1/2016,electricity-bill,9/1/2016
Electricity Bill Oct. 2016,You paid your electricity bill this month!,250,11/1/2016,electricity-bill,10/1/2016
Electricity Bill Nov. 2016,You paid your electricity bill this month!,250,12/1/2016,electricity-bill,11/1/2016
Electricity Bill Dec. 2016,You paid your electricity bill this month!,250,1/1/2017,electricity-bill,12/1/2016
Electricity Bill Jan. 2017,You paid your electricity bill this month!,250,2/1/2017,electricity-bill,1/1/2017
Electricity Bill Feb. 2017,You paid your electricity bill this month!,250,3/1/2017,electricity-bill,2/1/2017
Electricity Bill Mar. 2017,You paid your electricity bill this month!,250,4/1/2017,electricity-bill,3/1/2017
Electricity Bill April 2017,You paid your electricity bill this month!,250,5/1/2017,electricity-bill,4/1/2017
Electricity Bill May 2017,You paid your electricity bill this month!,250,6/1/2017,electricity-bill,5/1/2017
Electricity Bill June 2017,You paid your electricity bill this month!,250,7/1/2017,electricity-bill,6/1/2017
Electricity Bill July 2017,You paid your electricity bill this month!,250,8/1/2017,electricity-bill,7/1/2017
Electricity Bill Aug. 2017,You paid your electricity bill this month!,250,9/1/2017,electricity-bill,8/1/2017
Electricity Bill Sept. 2017,You paid your electricity bill this month!,250,10/1/2017,electricity-bill,9/1/2017
Electricity Bill Oct. 2017,You paid your electricity bill this month!,250,11/1/2017,electricity-bill,10/1/2017
Electricity Bill Nov. 2017,You paid your electricity bill this month!,250,12/1/2017,electricity-bill,11/1/2017
Electricity Bill Dec. 2017,You paid your electricity bill this month!,250,1/1/2018,electricity-bill,12/1/2017
Electricity Bill Jan. 2018,You paid your electricity bill this month!,250,2/1/2018,electricity-bill,1/1/2018
Electricity Bill Feb. 2018,You paid your electricity bill this month!,250,3/1/2018,electricity-bill,2/1/2018
Electricity Bill Mar. 2018,You paid your electricity bill this month!,250,4/1/2018,electricity-bill,3/1/2018
Electricity Bill April 2018,You paid your electricity bill this month!,250,5/1/2018,electricity-bill,4/1/2018
Electricity Bill May 2018,You paid your electricity bill this month!,250,6/1/2018,electricity-bill,5/1/2018
Electricity Bill June 2018,You paid your electricity bill this month!,250,7/1/2018,electricity-bill,6/1/2018
Electricity Bill July 2018,You paid your electricity bill this month!,250,8/1/2018,electricity-bill,7/1/2018
Electricity Bill Aug. 2018,You paid your electricity bill this month!,250,9/1/2018,electricity-bill,8/1/2018
Electricity Bill Sept. 2018,You paid your electricity bill this month!,250,10/1/2018,electricity-bill,9/1/2018
Electricity Bill Oct. 2018,You paid your electricity bill this month!,250,11/1/2018,electricity-bill,10/1/2018
Electricity Bill Nov. 2018,You paid your electricity bill this month!,250,12/1/2018,electricity-bill,11/1/2018
Electricity Bill Dec. 2018,You paid your electricity bill this month!,250,1/1/2019,electricity-bill,12/1/2018
Gas Bill Jan. 2016,You paid your gas bill this month!,250,2/1/2016,gas-bill,1/1/2016
Gas Bill Feb. 2016,You paid your gas bill this month!,250,3/1/2016,gas-bill,2/1/2016
Gas Bill Mar. 2016,You paid your gas bill this month!,250,4/1/2016,gas-bill,3/1/2016
Gas Bill April 2016,You paid your gas bill this month!,250,5/1/2016,gas-bill,4/1/2016
Gas Bill May 2016,You paid your gas bill this month!,250,6/1/2016,gas-bill,5/1/2016
Gas Bill June 2016,You paid your gas bill this month!,250,7/1/2016,gas-bill,6/1/2016
Gas Bill July 2016,You paid your gas bill this month!,250,8/1/2016,gas-bill,7/1/2016
Gas Bill Aug. 2016,You paid your gas bill this month!,250,9/1/2016,gas-bill,8/1/2016
Gas Bill Sept. 2016,You paid your gas bill this month!,250,10/1/2016,gas-bill,9/1/2016
Gas Bill Oct. 2016,You paid your gas bill this month!,250,11/1/2016,gas-bill,10/1/2016
Gas Bill Nov. 2016,You paid your gas bill this month!,250,12/1/2016,gas-bill,11/1/2016
Gas Bill Dec. 2016,You paid your gas bill this month!,250,1/1/2017,gas-bill,12/1/2016
Gas Bill Jan. 2017,You paid your gas bill this month!,250,2/1/2017,gas-bill,1/1/2017
Gas Bill Feb. 2017,You paid your gas bill this month!,250,3/1/2017,gas-bill,2/1/2017
Gas Bill Mar. 2017,You paid your gas bill this month!,250,4/1/2017,gas-bill,3/1/2017
Gas Bill April 2017,You paid your gas bill this month!,250,5/1/2017,gas-bill,4/1/2017
Gas Bill May 2017,You paid your gas bill this month!,250,6/1/2017,gas-bill,5/1/2017
Gas Bill June 2017,You paid your gas bill this month!,250,7/1/2017,gas-bill,6/1/2017
Gas Bill July 2017,You paid your gas bill this month!,250,8/1/2017,gas-bill,7/1/2017
Gas Bill Aug. 2017,You paid your gas bill this month!,250,9/1/2017,gas-bill,8/1/2017
Gas Bill Sept. 2017,You paid your gas bill this month!,250,10/1/2017,gas-bill,9/1/2017
Gas Bill Oct. 2017,You paid your gas bill this month!,250,11/1/2017,gas-bill,10/1/2017
Gas Bill Nov. 2017,You paid your gas bill this month!,250,12/1/2017,gas-bill,11/1/2017
Gas Bill Dec. 2017,You paid your gas bill this month!,250,1/1/2018,gas-bill,12/1/2017
Gas Bill Jan. 2018,You paid your gas bill this month!,250,2/1/2018,gas-bill,1/1/2018
Gas Bill Feb. 2018,You paid your gas bill this month!,250,3/1/2018,gas-bill,2/1/2018
Gas Bill Mar. 2018,You paid your gas bill this month!,250,4/1/2018,gas-bill,3/1/2018
Gas Bill April 2018,You paid your gas bill this month!,250,5/1/2018,gas-bill,4/1/2018
Gas Bill May 2018,You paid your gas bill this month!,250,6/1/2018,gas-bill,5/1/2018
Gas Bill June 2018,You paid your gas bill this month!,250,7/1/2018,gas-bill,6/1/2018
Gas Bill July 2018,You paid your gas bill this month!,250,8/1/2018,gas-bill,7/1/2018
Gas Bill Aug. 2018,You paid your gas bill this month!,250,9/1/2018,gas-bill,8/1/2018
Gas Bill Sept. 2018,You paid your gas bill this month!,250,10/1/2018,gas-bill,9/1/2018
Gas Bill Oct. 2018,You paid your gas bill this month!,250,11/1/2018,gas-bill,10/1/2018
Gas Bill Nov. 2018,You paid your gas bill this month!,250,12/1/2018,gas-bill,11/1/2018
Gas Bill Dec. 2018,You paid your gas bill this month!,250,1/1/2019,gas-bill,12/1/2018
